link,is_furnished,apartment_class
https://www.otodom.pl/pl/oferta/mieszkanie-160-m-warszawa-ID4sU4K,1,standard
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-34m2-bemowo-ul-lazurowa-ID4tOJM,1,standard
https://www.otodom.pl/pl/oferta/wlochy-63m2-3-pokoje-garaz-klima-0-prowizji-ID4tHE6,1,superior
https://www.otodom.pl/pl/oferta/wlochy-mieszkanie-3-pokojowe-z-garazem-ID4tmB0,1,standard
https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-na-solcu-od-zaraz-ID4sa7r,1,standard
https://www.otodom.pl/pl/oferta/wynajme-kawalerke-w-rembertowie-ID4tCTh,1,basic
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-bialoleka-64m-ID4tP3S,1,standard
https://www.otodom.pl/pl/oferta/0-prowizji-eleganckie-m4-srodmiescie-ID4tPeU,1,standard
https://www.otodom.pl/pl/oferta/2-odzielne-pokoje-54m2-przy-bluecity-balkon-garaz-ID4tPZ2,1,standard
https://www.otodom.pl/pl/oferta/2-pokojowe-38-m2-mokotow-czerniakowska-gagarina-ID4tQbD,1,basic
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-bohema-szwedzka-ID4tQc4,1,standard
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-srodmiesciu-ID4sq4I,1,superior
https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-na-wole-od-zaraz-ID4tEY2,1,standard
https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-z-tarasem-metro-plocka-ID4smgV,1,superior
https://www.otodom.pl/pl/oferta/3-pokoje-71-m2-wysoki-standart-zoliborz-ID4tFX5,1,superior
https://www.otodom.pl/pl/oferta/3-pokoje-przy-placu-szembeka-ID4tQbK,1,standard
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-przy-ulicy-grochowskiej-ID4tP5Q,1,standard
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-garazem-ul-dolna-ID4sQud,1,standard
https://www.otodom.pl/pl/oferta/3-pokojowe-przestronne-mieszkanie-ul-k-jedrusik-ID4lzht,1,superior
https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-na-mokotowie-od-zaraz-ID4tEYH,1,standard
https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-na-powislu-od-zaraz-ID4tEyV,1,standard
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-mokotow-pl-ukr-eng-ID4tCCV,1,basic
https://www.otodom.pl/pl/oferta/60-m2-przy-forcie-skorosze-ursus-ID4tPtn,1,standard
https://www.otodom.pl/pl/oferta/apartament-cybernetyki-ID4sRjl,1,standard
https://www.otodom.pl/pl/oferta/apartament-dwupokojowy-przy-bialej-ID4tQcd,1,standard
https://www.otodom.pl/pl/oferta/apartament-premium-ochota-2-pok-pieknie-urzadzony-ID4tPdu,1,superior
https://www.otodom.pl/pl/oferta/apartament-przy-metrze-wilanowska-ID4sY7h,1,standard
https://www.otodom.pl/pl/oferta/apartament-trzypokojowy-ursynow-przy-ul-poleczki-ID4tQdi,1,standard
https://www.otodom.pl/pl/oferta/apartment-in-wilanow-50m2-bezposredniodirect-ID4klf5,1,standard
https://www.otodom.pl/pl/oferta/ciche-blisko-lazienek-krolewskich-ul-czerska-ID4tPqZ,0,standard
https://www.otodom.pl/pl/oferta/do-wynajecia-3-pokoje-w-starej-milosnej-ID4tQ3t,1,standard
https://www.otodom.pl/pl/oferta/dostepne-od-zaraz-idealne-dla-singla-lub-pary-ID4tPQq,0,standard
https://www.otodom.pl/pl/oferta/duze-trzypokojowe-mieszkanie-swiezo-po-remoncie-ID4sTZs,1,standard
https://www.otodom.pl/pl/oferta/duzy-apartament-w-pieknej-kamiennicy-przy-sejmie-ID4tiBv,1,superior
https://www.otodom.pl/pl/oferta/dwa-pokoje-z-balkonem-i-garazem-w-sasiedztwie-blue-ID4u6FW,1,standard
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-wynajem-bez-prowizji-ID4tPxg,1,basic
https://www.otodom.pl/pl/oferta/kameralne-mieszkanie-na-grochowie-ID4tQ5u,1,standard
https://www.otodom.pl/pl/oferta/kawalerka-blisko-metra-brodno-najem-okazjonalny-ID4tQ9e,1,basic
https://www.otodom.pl/pl/oferta/kawalerka-herbsta-blisko-metra-ID4tPhW,1,basic
https://www.otodom.pl/pl/oferta/luksusowy-apartament-z-ogrodem-zimowym-i-tarasem-ID4tH4o,1,superior
https://www.otodom.pl/pl/oferta/luxury-apartments-wola-3-pokoje-ID4rTXG,1,superior
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-57m2-bez-prowizji-przy-agorze-ID4oUiO,0,standard
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-balkon-komorka-garaz-trocka-ID4tPo0,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-na-powislu-na-cele-mieszkalne-i-biurowe-ID4sTn0,0,standard
https://www.otodom.pl/pl/oferta/mieszkanie-przy-wejsciu-do-metra-stoklosy-od-zaraz-ID4tPKY,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-srodmiescie-ID4slgr,1,premium
https://www.otodom.pl/pl/oferta/nowe-luksusowe-2-pokoje-z-ogrodkiem-green-mokotow-ID4sRjp,1,superior
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-brodnie-targowek-ID43c8m,1,standard
https://www.otodom.pl/pl/oferta/penthouse-z-duzym-tarasem-oraz-sauna-wola-ID4tPEu,1,superior
https://www.otodom.pl/pl/oferta/piekne-nowe-mieszkanie-miejsce-postojowe-ID4sRyl,1,standard
https://www.otodom.pl/pl/oferta/piekne-winda-w-apartamencie-taras-umeblowane-ID4tnKY,1,premium
https://www.otodom.pl/pl/oferta/przestronne-3-pok-przy-metrze-ID4tQ4t,0,standard
https://www.otodom.pl/pl/oferta/przy-porcie-praskim-86m2-3-pok-2-tarasy-klimaty-ID4tPfJ,1,standard
https://www.otodom.pl/pl/oferta/siedmiogrodzka-3-warszawa-mieszkanie-ID4sRjk,1,standard
https://www.otodom.pl/pl/oferta/sprawdz-ustawne-3p-w-centrum-tarchomina-ID4tC9T,1,standard
https://www.otodom.pl/pl/oferta/stylowy-apartament-w-porcie-praskim-bez-prowizji-ID4tPME,1,standard
https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-w-miasteczku-wilanow-od-juz-ID4tGdG,1,superior
https://www.otodom.pl/pl/oferta/wynajme-2-pokojowe-mieszkanie-na-ursusie-45m2-ID4tPz3,1,standard
https://www.otodom.pl/pl/oferta/wynajme-50m2-wawrzyszew-blisko-metra-garaz-ID4tQ9L,1,standard
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-osiedle-zoliborz-artystyczny-ID4tQ7U,1,standard
https://www.otodom.pl/pl/oferta/2-pokoje-w-zadbanej-kamienicy-przy-metrze-wierzbno-ID4tjYZ,1,standard
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46-m2-z-garazem-i-klima-ID4tBw5,1,standard
https://www.otodom.pl/pl/oferta/3-pokoje-66m-metro-mokotow-ul-bukowinska-ID4tg7c,1,standard
https://www.otodom.pl/pl/oferta/al-lotnikow-2pok-garaz-nowe-ID4tRyI,1,standard
https://www.otodom.pl/pl/oferta/apartament-i-4-pokoje-i-sarmacka-wilanow-ID4tQQ0,1,superior
https://www.otodom.pl/pl/oferta/atrakcyjne-3-pokoje-super-lokalizacja-ID4tQP9,1,standard
https://www.otodom.pl/pl/oferta/bez-prowizji-mieszkanie-z-widokiem-na-zielen-ID4tRfN,1,standard
https://www.otodom.pl/pl/oferta/blisko-do-stacji-metra-ulrychow-ID4tQw2,1,standard
https://www.otodom.pl/pl/oferta/dla-singla-lub-pary-w-sasiedztwie-lasu-na-kole-ID4tHhb,1,standard
https://www.otodom.pl/pl/oferta/dwupietrowe-mieszkanie-obok-galerii-mokotow-ogrod-ID4tRCU,1,superior
https://www.otodom.pl/pl/oferta/ekskluzywne-2-pok-45-m2-garaz-royal-residence-ID4tQoJ,1,standard
https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-kamienicy-ID4tRFG,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-53m2-garaz-ID4tRyH,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-na-mokotowie-os-stegny-ul-kaukaska-ID4tQME,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-bielany-ul-niedzielskiego-79m-ID4g7ll,1,superior
https://www.otodom.pl/pl/oferta/ms906076-ID4tRky,1,standard
https://www.otodom.pl/pl/oferta/niepowtarzalny-klimat-starego-mokotowa-ID4tQhh,1,standard
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pok-na-wynajem-ul-jagiellonska-ID4tRGu,1,standard
https://www.otodom.pl/pl/oferta/nowe-nigdy-niezamieszkale-3-pok-al-wilanowska-ID4tQz5,1,superior
https://www.otodom.pl/pl/oferta/nowoczesne-i-komfortowe-3-pokoje-duzy-taras-ID4tRzO,1,standard
https://www.otodom.pl/pl/oferta/nowoczesne-nowe-budownictwo-od-zaraz-ID4tRx8,1,standard
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-blisko-browarow-warszawskich-ID4tQtm,1,superior
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-super-lokalizacja-ID4teok,1,standard
https://www.otodom.pl/pl/oferta/ostatnie-pietro-taras-garaz-i-komorka-pl-eng-ID4p7bU,1,standard
https://www.otodom.pl/pl/oferta/piekne-2-pok-gotowe-do-zamieszkania-7-pietro-ID4sMey,1,superior
https://www.otodom.pl/pl/oferta/pl-ua-ru-4-pokoje-mokotow-balkon-parking-gratis-ID4u32Z,1,standard
https://www.otodom.pl/pl/oferta/pl-ua-ru-balkon-2-pokoje-zoliborz-ID4tRdH,1,standard
https://www.otodom.pl/pl/oferta/prestizowe-3-mieszkanie-mokotow-siekierki-ID4tQPo,1,standard
https://www.otodom.pl/pl/oferta/przestronne-2-pok-na-ursynowie-metro-stoklosy-ID4tQh2,1,standard
https://www.otodom.pl/pl/oferta/przestronne-3-p-mieszkanie-ul-jana-kazimierza-ID4tHho,1,superior
https://www.otodom.pl/pl/oferta/przestronne-dwupokojowe-mieszkanie-stary-mokotow-ID4tQqk,1,standard
https://www.otodom.pl/pl/oferta/rezerwacja-do-22-12-ID4trNk,1,standard
https://www.otodom.pl/pl/oferta/trzech-pokojowe-mieszkanie-na-bliskiej-woli-ID4tQt0,1,standard
https://www.otodom.pl/pl/oferta/wola-nowa-apartament-z-garazem-ID4sWtr,1,standard
https://www.otodom.pl/pl/oferta/wynajem-bemowo-pelczynskiego-3-pokoje-5-min-metro-ID4tQQG,1,standard
https://www.otodom.pl/pl/oferta/wynajme-bezposrednio-3pokojowe-mieszkanie-mokotow-ID4tQmq,1,standard
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-22-m2-w-centrum-ID4tRl5,1,basic
https://www.otodom.pl/pl/oferta/wysoki-standard-nowoczesne-30m2-z-balkonem-garaz-ID4taM4,1,standard
https://www.otodom.pl/pl/oferta/0-2-3-pok-79m2-aneks-dolinka-sluzewiecka-2xbalkon-ID4sS9S,1,standard
https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-na-woli-szulborska-8-ID4toGg,1,standard
https://www.otodom.pl/pl/oferta/2-pok-z-widokiem-na-zielen-prywatnosc-parking-ID4tSBA,1,standard
https://www.otodom.pl/pl/oferta/2-pokoje-35-m2-taras-parking-ursus-ID4tHkB,1,standard
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-pet-friendly-ID4t6op,1,standard
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-miasteczku-wilanow-ID4tS44,1,standard
https://www.otodom.pl/pl/oferta/3-pokoje-65m2-zoliborz-ul-hubnera-rydygiera-garaz-ID4tScN,1,standard
https://www.otodom.pl/pl/oferta/3-pokoje-cybernetyki-komputerowa-od-zaraz-ID4sLbR,1,standard
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-wynajem-ID4tSbb,1,standard
https://www.otodom.pl/pl/oferta/4-pokoje-domaniewska-2-ogrodki-od-zaraz-ID4tcDq,1,standard
https://www.otodom.pl/pl/oferta/75m2-klimatyczna-kamienica-grochow-goclawek-ID4tRQM,1,standard
https://www.otodom.pl/pl/oferta/apartamanet-na-pograniczu-wilanow-ursunow-mokotow-ID4tln1,1,superior
https://www.otodom.pl/pl/oferta/apartament-55m2-przy-stacji-m2-plocka-ID4u1IE,1,basic
https://www.otodom.pl/pl/oferta/bezposrednio-nowa-kawalerka-28m2-wlochy-zwierzeta-ID4tS7a,1,standard
