added_dt,last_update,link,floor,heating,advertiser_type,location,latitude,longitude,approximate_coordinates,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,students_allowed,non_smoker_only,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning
2024-12-01,2024-12-21,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-niedaleko-metra-trocka-ID4tIkg,2.0,district,owner,"Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",52.27587,21.047,1,1,block_of_flats,0,Targowek,4450,0,65.0,3.0,0,1,5.0,0,1,0,0,0,0,0,0,0,0,9.0,1,1,1,1
2024-12-01,2024-12-01,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-parking-ID4tI58,1.0,district,owner,"ul. Owsiana, Kamionek, Praga-Południe, Warszawa, mazowieckie",52.248963,21.068475,0,1,block_of_flats,0,Praga_Poludnie,2700,650,41.0,2.0,0,1,5.0,0,1,0,0,1,0,0,0,1,1,7.0,1,1,1,1
2024-12-01,2024-12-19,https://www.otodom.pl/pl/oferta/rezerwacja-30-m-loggia-garaz-bezposrednio-ID4tIis,5.0,district,owner,"ul. Jana Pawła Woronicza, Wyględów, Mokotów, Warszawa, mazowieckie",52.191168,20.987134,0,1,apartment,1,Mokotow,2900,670,30.0,1.0,1,1,6.0,0,1,0,0,1,0,0,0,1,1,5.0,0,1,1,0
2024-12-02,2024-12-20,https://www.otodom.pl/pl/oferta/2-pokojemetro-wierzbnoumeblowanepo-remoncie-ID4tJgA,1.0,district,agency,"al. Aleja Niepodległości, Wierzbno, Mokotów, Warszawa, mazowieckie",52.19256,21.01614,0,0,block_of_flats,1,Mokotow,3100,600,37.5,2.0,0,0,4.0,0,0,0,0,1,0,1,1,1,1,70.0,0,1,1,0
2024-12-02,2024-12-19,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-powislu-ID4tJjz,4.0,district,agency,"ul. Radna, Powiśle, Śródmieście, Warszawa, mazowieckie",52.24096,21.02414,0,0,tenement,1,Srodmiescie,6750,410,79.0,3.0,0,0,4.0,0,0,0,0,0,0,1,0,0,1,89.0,0,1,1,0
2024-12-02,2024-12-12,https://www.otodom.pl/pl/oferta/apartament-46-m2-metro-przy-rondo-daszynkiego-ID4tIPH,3.0,district,owner,"Ulrychów, Wola, Warszawa, mazowieckie",52.23338,20.95718,1,1,block_of_flats,1,Wola,4800,1000,46.0,2.0,0,1,7.0,0,1,0,0,0,0,0,0,1,1,13.0,0,0,1,0
2024-12-02,2024-12-02,https://www.otodom.pl/pl/oferta/apartament-w-budynku-z-sauna-silownia-recepcja-ID4tAzu,7.0,district,agency,"Okęcie, Włochy, Warszawa, mazowieckie",52.17991,20.94782,1,1,apartment,1,Wlochy,4000,350,36.0,2.0,0,0,7.0,0,1,0,0,1,0,0,0,1,1,3.0,1,1,1,0
2024-12-02,2024-12-02,https://www.otodom.pl/pl/oferta/bielany-3-pokoje-blisko-metra-wynajem-od-zaraz-ID4sNdw,1.0,district,agency,"ul. Starej Baśni, Stare Bielany, Bielany, Warszawa, mazowieckie",52.27405,20.94309,0,0,block_of_flats,0,Bielany,3800,760,56.0,3.0,0,0,4.0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0
2024-12-02,2024-12-02,https://www.otodom.pl/pl/oferta/funkcjonalne-3-pokojowe-mieszkanie-ID4sRsS,1.0,district,agency,"Służew, Mokotów, Warszawa, mazowieckie",52.174163,21.010892,1,1,block_of_flats,0,Mokotow,3000,700,46.0,3.0,0,0,10.0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0
2024-12-02,2024-12-20,https://www.otodom.pl/pl/oferta/kawalerka-z-garazem-ID4tJHP,2.0,district,agency,"ul. Obrońców Tobruku, Fort Bema, Bemowo, Warszawa, mazowieckie",52.258246,20.932134,0,1,other,0,Bemowo,2800,0,30.0,1.0,0,0,4.0,0,1,0,0,1,0,0,0,0,0,21.0,0,0,0,0
