stop_id,stop_code,stop_name,stop_lat,stop_lon
635,2,Ursynów Płd.,52.1529800000,21.0375900000
637,5,Ursynów Płd.,52.1541460000,21.0370950000
641,3,Polinezyjska,52.1515500000,21.0484900000
644,2,Stryjeńskich,52.1430260000,21.0444150000
505,10,Wilanów,52.1681950000,21.0843020000
506,4,Wilanów,52.1677300000,21.0840700000
507,5,Wilanów,52.1680490000,21.0840080000
512,51,Pałacowa,52.1476320000,21.0928210000
517,2,Przekorna,52.1247170000,21.1022770000
520,1,Gąsek,52.1209260000,21.0932980000
528,1,Al. Witosa,52.1962570000,21.0524390000
532,2,Goraszewska,52.1860500000,21.0648990000
539,3,Sadyba,52.1813110000,21.0688220000
541,2,Wiertnicza,52.1802260000,21.0711640000
554,2,Augustówka,52.1945010000,21.0877630000
555,4,EC Siekierki,52.1933360000,21.0851290000
556,3,EC Siekierki,52.1933490000,21.0850260000
559,4,Statkowskiego,52.1905240000,21.0825550000
563,2,Santocka,52.1823620000,21.0770520000
570,2,Sypniewska,52.1909000000,21.0744440000
576,1,Warneńska,52.1821960000,21.0450390000
578,2,Noskowskiego,52.1727820000,21.0387120000
580,5,Nowoursynowska,52.1713120000,21.0403350000
584,2,Tango,52.1545320000,21.0094040000
605,1,Samochodowa,52.1889260000,21.0085800000
606,2,Samochodowa,52.1890320000,21.0065810000
609,1,Ursynów Płn.,52.1620800000,21.0381300000
612,4,Ursynów Płn.,52.1613740000,21.0363010000
621,1,Kopcińskiego,52.1578710000,21.0556690000
622,2,Łowicka,52.2023740000,21.0047010000
624,2,Metro Ursynów,52.1624900000,21.0278300000
625,2,Koński Jar,52.1618160000,21.0240240000
627,2,Pięciolinii,52.1558740000,21.0230700000
639,2,Magellana,52.1552170000,21.0409640000
649,2,Szolc-Rogozińskiego,52.1502500000,21.0519300000
651,2,Lanciego,52.1406330000,21.0601450000
653,2,Europejska,52.1607490000,21.0927770000
654,1,Vogla-Morysin,52.1612350000,21.1015400000
656,2,Syta,52.1646340000,21.1089910000
661,2,Grabalówki,52.1510380000,21.1330770000
685,1,Polna,52.0947470000,21.1173000000
687,2,Os. Wyżyny,52.1379750000,21.0490900000
688,4,Os. Wyżyny,52.1370000000,21.0497030000
690,1,Siedliskowa,52.1770330000,21.1063170000
696,4,Małej Łąki,52.1335040000,21.0540560000
699,1,Płaskowickiej,52.1484860000,21.0602310000
702,1,Śniadeckich,52.0850270000,21.0762750000
710,1,Stefana Batorego,52.2104600000,21.0058200000
711,4,Madalińskiego,52.2032150000,21.0095110000
713,2,Metro Racławicka,52.1997780000,21.0119120000
719,3,Polskie Radio,52.1930490000,21.0141130000
720,2,Joliot-Curie,52.1925590000,21.0107600000
721,2,Wołoska-Szpital,52.1995680000,21.0012560000
724,2,Woronicza,52.1895350000,21.0022580000
726,2,Konstruktorska,52.1861330000,21.0023910000
735,2,Bartłomieja,52.1706540000,21.0077160000
740,2,Miłobędzka,52.1970280000,20.9921090000
744,4,Cybernetyki,52.1752550000,20.9999940000
757,4,Wąwozowa,52.1329920000,21.0745570000
759,2,Metro Natolin,52.1396730000,21.0567590000
761,2,Wyczółki,52.1584250000,21.0021760000
763,1,Wiolinowa,52.1583740000,21.0306240000
766,3,Sójki,52.1434550000,21.0184790000
768,2,Makolągwy,52.1453140000,21.0263960000
